70 808
0 6 16
6 0 16
0 8 26
8 0 26
0 10 21
10 0 21
0 21 1
21 0 1
0 26 32
26 0 32
0 28 23
28 0 23
0 33 18
33 0 18
0 35 15
35 0 15
0 41 15
41 0 15
0 42 2
42 0 2
0 49 24
49 0 24
0 63 9
63 0 9
0 66 18
66 0 18
1 6 20
6 1 20
1 9 17
9 1 17
1 20 22
20 1 22
1 26 11
26 1 11
1 38 1
38 1 1
1 49 4
49 1 4
1 53 28
53 1 28
1 54 28
54 1 28
1 55 16
55 1 16
1 67 17
67 1 17
2 3 3
3 2 3
2 5 31
5 2 31
2 8 2
8 2 2
2 14 4
14 2 4
2 37 27
37 2 27
2 43 30
43 2 30
2 46 30
46 2 30
2 50 18
50 2 18
2 51 9
51 2 9
2 64 15
64 2 15
2 65 15
65 2 15
3 9 22
9 3 22
3 16 3
16 3 3
3 20 9
20 3 9
3 24 7
24 3 7
3 26 12
26 3 12
3 28 18
28 3 18
3 31 14
31 3 14
3 39 15
39 3 15
3 43 28
43 3 28
3 47 22
47 3 22
3 55 10
55 3 10
3 59 28
59 3 28
4 7 6
7 4 6
4 15 25
15 4 25
4 17 14
17 4 14
4 38 32
38 4 32
4 47 2
47 4 2
4 51 3
51 4 3
4 55 3
55 4 3
4 57 6
57 4 6
4 58 3
58 4 3
4 59 29
59 4 29
4 64 6
64 4 6
5 12 15
12 5 15
5 22 3
22 5 3
5 36 16
36 5 16
6 31 29
31 6 29
6 51 25
51 6 25
6 53 8
53 6 8
6 55 17
55 6 17
6 67 25
67 6 25
7 8 15
8 7 15
7 11 13
11 7 13
7 12 27
12 7 27
7 15 1
15 7 1
7 23 1
23 7 1
7 32 5
32 7 5
7 33 27
33 7 27
7 37 20
37 7 20
7 42 18
42 7 18
7 61 19
61 7 19
7 69 15
69 7 15
8 9 14
9 8 14
8 13 11
13 8 11
8 43 27
43 8 27
8 45 21
45 8 21
8 46 5
46 8 5
8 54 4
54 8 4
8 59 15
59 8 15
8 60 31
60 8 31
8 63 6
63 8 6
9 13 12
13 9 12
9 14 10
14 9 10
9 21 31
21 9 31
9 31 11
31 9 11
9 34 24
34 9 24
9 46 24
46 9 24
9 52 18
52 9 18
9 55 12
55 9 12
9 63 14
63 9 14
10 17 15
17 10 15
10 53 23
53 10 23
10 54 3
54 10 3
10 61 22
61 10 22
11 35 10
35 11 10
11 50 15
50 11 15
11 52 15
52 11 15
11 54 32
54 11 32
11 56 20
56 11 20
11 59 6
59 11 6
11 68 19
68 11 19
12 16 6
16 12 6
12 21 18
21 12 18
12 25 18
25 12 18
12 59 32
59 12 32
13 19 1
19 13 1
13 22 19
22 13 19
13 28 24
28 13 24
13 33 31
33 13 31
13 42 9
42 13 9
13 43 14
43 13 14
13 50 12
50 13 12
13 51 9
51 13 9
13 60 3
60 13 3
14 23 4
23 14 4
14 34 30
34 14 30
14 55 2
55 14 2
14 61 3
61 14 3
14 64 6
64 14 6
15 20 26
20 15 26
15 22 11
22 15 11
15 29 19
29 15 19
15 43 27
43 15 27
15 44 19
44 15 19
15 63 6
63 15 6
15 65 2
65 15 2
16 21 15
21 16 15
16 26 30
26 16 30
16 32 28
32 16 28
16 34 28
34 16 28
16 37 27
37 16 27
16 38 25
38 16 25
16 45 6
45 16 6
16 47 30
47 16 30
16 51 31
51 16 31
16 65 6
65 16 6
17 21 23
21 17 23
17 24 26
24 17 26
17 25 32
25 17 32
17 42 29
42 17 29
17 50 31
50 17 31
17 58 17
